ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
2967,Banners (Event),,Raven Banner,No,1,,,,,,,,,
2968,Banners (Enemy),,Red Slime Banner,No,1,,,,,,,,,
2969,Banners (Enemy),,Rune Wizard Banner,No,1,,,,,,,,,
2970,Banners (Enemy),,Rusty Armored Bones Banner,No,1,,,,,,,,,
2971,Banners (Event),,Scarecrow Banner,No,1,,,,,,,,,
2972,Banners (Event),,Scutlix Banner,No,1,,,,,,,,,
2973,Banners (Enemy),,Skeleton Archer Banner,No,1,,,,,,,,,
2974,Banners (Enemy),,Skeleton Commando Banner,No,1,,,,,,,,,
2975,Banners (Enemy),,Skeleton Sniper Banner,No,1,,,,,,,,,
2976,Banners (Enemy),,Slimer Banner,No,1,,,,,,,,,
2977,Banners (Enemy),,Snatcher Banner,No,1,,,,,,,,,
2978,Banners (Event),,Snow Balla Banner,No,1,,,,,,,,,
2979,Banners (Event),,Snowman Gangsta Banner,No,1,,,,,,,,,
2980,Banners (Enemy),,Spiked Ice Slime Banner,No,1,,,,,,,,,
2981,Banners (Enemy),,Spiked Jungle Slime Banner,No,1,,,,,,,,,
2982,Banners (Event),,Splinterling Banner,No,1,,,,,,,,,
2983,Banners (Enemy),,Squid Banner,No,1,,,,,,,,,
2984,Banners (Enemy),,Tactical Skeleton Banner,No,1,,,,,,,,,
2985,Banners (Event),,The Groom Banner,No,1,,,,,,,,,
2986,Banners (Enemy),,Tim Banner,No,1,,,,,,,,,
2987,Banners (Enemy),,Undead Miner Banner,No,1,,,,,,,,,
2988,Banners (Enemy),,Undead Viking Banner,No,1,,,,,,,,,
2992,Banners (Enemy),,Yellow Slime Banner,No,1,,,,,,,,,
2993,Banners (Event),,Yeti Banner,No,1,,,,,,,,,
2994,Banners (Event),,Zombie Elf Banner,No,1,,,,,,,,,
2995,Paintings,,Sparky,No,1,,,,,,,,,
2996,Miscellaneous,,Vine Rope,No,100,,,,,,,,,
2997,Potions,,Wormhole Potion,No,20,,,,,,,,,
2998,Accessories,,Summoner Emblem,No,1,,,,,,,,,
2999,Crafting Stations,,Bewitching Table,No,1,,,,,,,,,
3000,Crafting Stations,,Alchemy Table,No,1,,,,,,,,,
3001,Potions,,Strange Brew,No,30,,,,,,,,,
3002,Miscellaneous,,Spelunker Glowstick,No,100,,,,,,,,,
3003,Weapons (Thrown/Ammo),,Bone Arrow,No,99,,,,,,,,,
3004,Lighting,,Bone Torch,No,100,,,,,,,,,
3005,Miscellaneous,,Vine Rope Coil,No,10,,,,,,,,,
3006,Weapons,,Life Drain,No,1,,,,,,,,,
3007,Weapons,,Dart Pistol,No,1,,,,,,,,,
3008,Weapons,,Dart Rifle,No,1,,,,,,,,,
3009,Weapons (Thrown/Ammo),,Crystal Dart,No,99,,,,,,,,,
3010,Weapons (Thrown/Ammo),,Cursed Dart,No,99,,,,,,,,,
3011,Weapons (Thrown/Ammo),,Ichor Dart,No,99,,,,,,,,,
3012,Weapons,,Chain Guillotines,No,1,,,,,,,,,
3013,Weapons,,Fetid Baghnakhs,No,1,,,,,,,,,
3014,Weapons,,Clinger Staff,No,1,,,,,,,,,
3015,Accessories,,Putrid Scent,No,1,,,,,,,,,
3016,Accessories,,Flesh Knuckles,No,1,,,,,,,,,
3017,Accessories,,Flower Boots,No,1,,,,,,,,,
3018,Weapons,,Seedler,No,1,,,,,,,,,
3019,Weapons,,Hellwing Bow,No,1,,,,,,,,,
3020,Tools,,Tendon Hook,No,1,,,,,,,,,
3021,Tools,,Thorn Hook,No,1,,,,,,,,,
3022,Tools,,Illuminant Hook,No,1,,,,,,,,,
3023,Tools,,Worm Hook,No,1,,,,,,,,,
3024,Dyes,,Skiphs' Blood,No,3,,,,,,,,,
3025,Dyes,,Purple Ooze Dye,No,3,,,,,,,,,
3026,Dyes,,Reflective Silver Dye,No,3,,,,,,,,,
3027,Dyes,,Reflective Gold Dye,No,3,,,,,,,,,
3028,Dyes,,Blue Acid Dye,No,3,,,,,,,,,
3029,Weapons,,Daedalus Stormbow,No,1,,,,,,,,,
3030,Weapons,,Flying Knife,No,1,,,,,,,,,
3031,Tools,,Bottomless Water Bucket,No,1,,,,,,,,,
3032,Tools,,Super Absorbant Sponge,No,1,,,,,,,,,
3033,Accessories,,Gold Ring,No,1,,,,,,,,,
3034,Accessories,,Coin Ring,No,1,,,,,,,,,
3035,Accessories,,Greedy Ring,No,1,,,,,,,,,
3036,Accessories,,Fish Finder,No,1,,,,,,,,,
3037,Accessories,,Weather Radio,No,1,,,,,,,,,
3038,Dyes,,Hades Dye,No,3,,,,,,,,,
3039,Dyes,,Twilight Dye,No,3,,,,,,,,,
3040,Dyes,,Acid Dye,No,3,,,,,,,,,
3041,Dyes,,Glowing Mushroom Dye,No,3,,,,,,,,,
3042,Dyes,,Phase Dye,No,3,,,,,,,,,
3043,Pets/Mounts,,Magic Lantern,No,1,,,,,,,,,
3044,Music Boxes,,Music Box (Lunar Boss),No,1,,,,,,,,,
3045,Lighting,,Rainbow Torch,No,100,,,,,,,,,
3046,Lighting,,Cursed Campfire,No,1,,,,,,,,,
3047,Lighting,,Demon Campfire,No,1,,,,,,,,,
3048,Lighting,,Frozen Campfire,No,1,,,,,,,,,
3049,Lighting,,Ichor Campfire,No,1,,,,,,,,,
3050,Lighting,,Rainbow Campfire,No,1,,,,,,,,,
3051,Weapons,,Crystal Vile Shard,No,1,,,,,,,,,
3052,Weapons,,Shadowflame Bow,No,1,,,,,,,,,
3053,Weapons,,Shadowflame Hex Doll,No,1,,,,,,,,,
3054,Weapons,,Shadowflame Knife,No,1,,,,,,,,,
3055,Paintings,,Acorns,No,1,,,,,,,,,
3056,Paintings,,Cold Snap,No,1,,,,,,,,,
3057,Paintings,,Cursed Saint,No,1,,,,,,,,,
3058,Paintings,,Snowfellas,No,1,,,,,,,,,
3059,Paintings,,The Season,No,1,,,,,,,,,
3060,Pets/Mounts,,Bone Rattle,No,1,,,,,,,,,
3061,Accessories,,Architect Gizmo Pack,No,1,,,,,,,,,
3062,Pets/Mounts,,Crimson Heart,No,1,,,,,,,,,
3063,Weapons,,Meowmere,No,1,,,,,,,,,
3064,Furniture (Other),,Enchanted Sundial,No,1,,,,,,,,,
3065,Weapons,,Star Wrath,No,1,,,,,,,,,
3066,Blocks,,Smooth Marble Block,No,100,,,,,,,,,
3067,Walls/Wallpaper,,Hellstone Brick Wall,No,400,,,,,,,,,
3068,Accessories,,Guide to Plant Fiber Cordage,No,1,,,,,,,,,
3069,Weapons,,Wand of Sparking,No,1,,,,,,,,,
3070,Critters,,Gold Bird Cage,No,1,,,,,,,,,
3071,Critters,,Gold Bunny Cage,No,1,,,,,,,,,
3072,Critters,,Gold Butterfly Jar,No,1,,,,,,,,,
3073,Critters,,Gold Frog Cage,No,1,,,,,,,,,
3074,Critters,,Gold Grasshopper Cage,No,1,,,,,,,,,
3075,Critters,,Gold Mouse Cage,No,1,,,,,,,,,
3076,Critters,,Gold Worm Cage,No,1,,,,,,,,,
3077,Miscellaneous,,Silk Rope,No,100,,,,,,,,,
3078,Miscellaneous,,Web Rope,No,100,,,,,,,,,
3079,Miscellaneous,,Silk Rope Coil,No,10,,,,,,,,,
3080,Miscellaneous,,Web Rope Coil,No,10,,,,,,,,,
3081,Blocks,,Marble Block,No,100,,,,,,,,,
3082,Walls/Wallpaper,,Marble Wall,No,400,,,,,,,,,
3083,Walls/Wallpaper,,Smooth Marble Wall,No,400,,,,,,,,,
3084,Accessories,,Radar,No,1,,,,,,,,,
3085,Miscellaneous,,Golden Lock Box,No,10,,,,,,,,,
3086,Blocks,,Granite Block,No,100,,,,,,,,,
3087,Blocks,,Smooth Granite Block,No,100,,,,,,,,,
3088,Walls/Wallpaper,,Granite Wall,No,400,,,,,,,,,
3089,Walls/Wallpaper,,Smooth Granite Wall,No,400,,,,,,,,,
3090,Accessories,,Royal Gel,No,1,,,,,,,,,
3091,Keys/Boss Summons,,Key of Night,No,1,,,,,,,,,
3092,Keys/Boss Summons,,Key of Light,No,1,,,,,,,,,
3093,Miscellaneous,,Herb Bag,No,2,,,,,,,,,
3094,Weapons (Thrown/Ammo),,Javelin,No,99,,,,,,,,,
3095,Accessories,,Tally Counter,No,1,,,,,,,,,
3096,Accessories,,Sextant,No,1,,,,,,,,,
3097,Accessories,,Shield of Cthulhu,No,1,,,,,,,,,
3098,Tools,,Butcher's Chainsaw,No,1,,,,,,,,,
3099,Accessories,,Stopwatch,No,1,,,,,,,,,
3100,Blocks,,Meteorite Brick,No,100,,,,,,,,,
3101,Walls/Wallpaper,,Meteorite Brick Wall,No,400,,,,,,,,,
3102,Accessories,,Metal Detector,No,1,,,,,,,,,
3103,Accessories,,Endless Quiver,No,1,,,,,,,,,
3104,Accessories,,Endless Musket Pouch,No,1,,,,,,,,,
3105,Weapons,,Toxic Flask,No,1,,,,,,,,,
3106,Weapons,,Psycho Knife,No,1,,,,,,,,,
3107,Weapons,,Nail Gun,No,1,,,,,,,,,
3108,Weapons (Thrown/Ammo),,Nail,No,99,,,,,,,,,
3109,Armor,,Night Vision Helmet,No,1,,,,,,,,,
3110,Accessories,,Celestial Shell,No,1,,,,,,,,,
3111,Crafting,,Pink Gel,No,5,,,,,,,,,
3112,Miscellaneous,,Bouncy Glowstick,No,100,,,,,,,,,
3113,Blocks,,Pink Slime Block,No,100,,,,,,,,,
3114,Lighting,,Pink Torch,No,100,,,,,,,,,
3115,Weapons (Thrown/Ammo),,Bouncy Bomb,No,99,,,,,,,,,
3116,Weapons (Thrown/Ammo),,Bouncy Grenade,No,99,,,,,,,,,
3117,Lighting,,Peace Candle,No,1,,,,,,,,,
3118,Accessories,,Lifeform Analyzer,No,1,,,,,,,,,
3119,Accessories,,DPS Meter,No,1,,,,,,,,,
3120,Accessories,,Fisherman's Pocket Guide,No,1,,,,,,,,,
3121,Accessories,,Goblin Tech,No,1,,,,,,,,,
3122,Accessories,,R.E.K. 3000,No,1,,,,,,,,,
3123,Accessories,,PDA,No,1,,,,,,,,,
3124,Accessories,,Cell Phone,No,1,,,,,,,,,
3125,Chests/Crates,,Granite Chest,No,1,,,,,,,,,
3126,Furniture (Sets),,Meteorite Clock,No,1,,,,,,,,,
3127,Furniture (Sets),,Marble Clock,No,1,,,,,,,,,
3128,Furniture (Sets),,Granite Clock,No,1,,,,,,,,,
3129,Furniture (Sets),,Meteorite Door,No,1,,,,,,,,,
3130,Furniture (Sets),,Marble Door,No,1,,,,,,,,,
3131,Furniture (Sets),,Granite Door,No,1,,,,,,,,,
3132,Furniture (Sets),,Meteorite Dresser,No,1,,,,,,,,,
3133,Furniture (Sets),,Marble Dresser,No,1,,,,,,,,,
3134,Furniture (Sets),,Granite Dresser,No,1,,,,,,,,,
3135,Lighting,,Meteorite Lamp,No,1,,,,,,,,,
3136,Lighting,,Marble Lamp,No,1,,,,,,,,,
3137,Lighting,,Granite Lamp,No,1,,,,,,,,,
3138,Lighting,,Meteorite Lantern,No,1,,,,,,,,,
3139,Lighting,,Marble Lantern,No,1,,,,,,,,,
3140,Lighting,,Granite Lantern,No,1,,,,,,,,,
3141,Furniture (Sets),,Meteorite Piano,No,1,,,,,,,,,
3142,Furniture (Sets),,Marble Piano,No,1,,,,,,,,,
3143,Furniture (Sets),,Granite Piano,No,1,,,,,,,,,
3144,Platforms/Fencing,,Meteorite Platform,No,200,,,,,,,,,
3145,Platforms/Fencing,,Marble Platform,No,200,,,,,,,,,
3146,Platforms/Fencing,,Granite Platform,No,200,,,,,,,,,
3147,Furniture (Sets),,Meteorite Sink,No,1,,,,,,,,,
3148,Furniture (Sets),,Marble Sink,No,1,,,,,,,,,
3149,Furniture (Sets),,Granite Sink,No,1,,,,,,,,,
3150,Furniture (Sets),,Meteorite Sofa,No,1,,,,,,,,,
3151,Furniture (Sets),,Marble Sofa,No,1,,,,,,,,,
3152,Furniture (Sets),,Granite Sofa,No,1,,,,,,,,,
3153,Furniture (Sets),,Meteorite Table,No,1,,,,,,,,,
3154,Furniture (Sets),,Marble Table,No,1,,,,,,,,,
3155,Furniture (Sets),,Granite Table,No,1,,,,,,,,,
3156,Furniture (Sets),,Meteorite Work Bench,No,1,,,,,,,,,
3157,Furniture (Sets),,Marble Work Bench,No,1,,,,,,,,,
3158,Furniture (Sets),,Granite Work Bench,No,1,,,,,,,,,
3159,Furniture (Sets),,Meteorite Bathtub,No,1,,,,,,,,,
3160,Furniture (Sets),,Marble Bathtub,No,1,,,,,,,,,
3161,Furniture (Sets),,Granite Bathtub,No,1,,,,,,,,,
3162,Furniture (Sets),,Meteorite Bed,No,1,,,,,,,,,
3163,Furniture (Sets),,Marble Bed,No,1,,,,,,,,,
3164,Furniture (Sets),,Granite Bed,No,1,,,,,,,,,
3165,Furniture (Sets),,Meteorite Bookcase,No,1,,,,,,,,,
3166,Furniture (Sets),,Marble Bookcase,No,1,,,,,,,,,
3167,Furniture (Sets),,Granite Bookcase,No,1,,,,,,,,,
3168,Lighting,,Meteorite Candelabra,No,1,,,,,,,,,
3169,Lighting,,Marble Candelabra,No,1,,,,,,,,,
3170,Lighting,,Granite Candelabra,No,1,,,,,,,,,
3171,Lighting,,Meteorite Candle,No,1,,,,,,,,,
3172,Lighting,,Marble Candle,No,1,,,,,,,,,
3173,Lighting,,Granite Candle,No,1,,,,,,,,,
3174,Furniture (Sets),,Meteorite Chair,No,1,,,,,,,,,
3175,Furniture (Sets),,Marble Chair,No,1,,,,,,,,,
3176,Furniture (Sets),,Granite Chair,No,1,,,,,,,,,
3177,Lighting,,Meteorite Chandelier,No,1,,,,,,,,,
3178,Lighting,,Marble Chandelier,No,1,,,,,,,,,
3179,Lighting,,Granite Chandelier,No,1,,,,,,,,,
3180,Chests/Crates,,Meteorite Chest,No,1,,,,,,,,,
3181,Chests/Crates,,Marble Chest,No,1,,,,,,,,,
3182,Miscellaneous,,Magic Water Dropper,No,1,,,,,,,,,
3183,Tools,,Golden Bug Net,No,1,,,,,,,,,
3184,Miscellaneous,,Magic Lava Dropper,No,1,,,,,,,,,
3185,Miscellaneous,,Magic Honey Dropper,No,1,,,,,,,,,
3186,Miscellaneous,,Empty Dropper,No,1,,,,,,,,,
3187,Armor,,Gladiator Helmet,No,1,,,,,,,,,
3188,Armor,,Gladiator Breastplate,No,1,,,,,,,,,
3189,Armor,,Gladiator Leggings,No,1,,,,,,,,,
3190,Dyes,,Reflective Dye,No,3,,,,,,,,,
3191,Critters,,Enchanted Nightcrawler,No,5,,,,,,,,,
3192,Critters,,Grubby,No,5,,,,,,,,,
3193,Critters,,Sluggy,No,5,,,,,,,,,
3194,Critters,,Buggy,No,5,,,,,,,,,
3195,Food,,Grub Soup,No,10,,,,,,,,,
3196,Weapons (Thrown/Ammo),,Bomb Fish,No,99,,,,,,,,,
3197,Weapons (Thrown/Ammo),,Frost Daggerfish,No,99,,,,,,,,,
3198,Furniture (Other),,Sharpening Station,No,1,,,,,,,,,
3199,Tools,,Ice Mirror,No,1,,,,,,,,,
3200,Accessories,,Sailfish Boots,No,1,,,,,,,,,
3201,Accessories,,Tsunami in a Bottle,No,1,,,,,,,,,
3202,Furniture (Other),,Target Dummy,No,1,,,,,,,,,
3203,Chests/Crates,,Corrupt Crate,No,10,,,,,,,,,
3204,Chests/Crates,,Crimson Crate,No,10,,,,,,,,,
3205,Chests/Crates,,Dungeon Crate,No,10,,,,,,,,,
3206,Chests/Crates,,Sky Crate,No,10,,,,,,,,,
3207,Chests/Crates,,Hallowed Crate,No,10,,,,,,,,,
3208,Chests/Crates,,Jungle Crate,No,10,,,,,,,,,
3209,Weapons,,Crystal Serpent,No,1,,,,,,,,,
3210,Weapons,,Toxikarp,No,1,,,,,,,,,
3211,Weapons,,Bladetongue,No,1,,,,,,,,,
3212,Accessories,,Shark Tooth Necklace,No,1,,,,,,,,,
3213,Tools,,Money Trough,No,1,,,,,,,,,
3214,Blocks,,Bubble,No,100,,,,,,,,,
3215,Plants,,Daybloom Planter Box,No,25,,,,,,,,,
3216,Plants,,Moonglow Planter Box,No,25,,,,,,,,,
3217,Plants,,Deathweed Planter Box (Corruption),No,25,,,,,,,,,
3218,Plants,,Deathweed Planter Box (Crimson),No,25,,,,,,,,,
3219,Plants,,Blinkroot Planter Box,No,25,,,,,,,,,
3220,Plants,,Waterleaf Planter Box,No,25,,,,,,,,,
3221,Plants,,Shiverthorn Planter Box,No,25,,,,,,,,,
3222,Plants,,Fireblossom Planter Box,No,25,,,,,,,,,
3223,Accessories,,Brain of Confusion,No,1,,,,,,,,,
3224,Accessories,,Worm Scarf,No,1,,,,,,,,,
3225,Accessories,,Balloon Pufferfish,No,1,,,,,,,,,
3226,Vanity (Developer),,Lazure's Valkyrie Circlet,No,1,,,,,,,,,
3227,Vanity (Developer),,Lazure's Valkyrie Cloak,No,1,,,,,,,,,
3228,Wings,,Lazure's Barrier Platform,No,1,,,,,,,,,
3229,Furniture (Other),,Golden Cross Grave Marker,No,2,,,,,,,,,
3230,Furniture (Other),,Golden Tombstone,No,2,,,,,,,,,
3231,Furniture (Other),,Golden Grave Marker,No,2,,,,,,,,,
3232,Furniture (Other),,Golden Gravestone,No,2,,,,,,,,,
3233,Furniture (Other),,Golden Headstone,No,2,,,,,,,,,
3234,Blocks,,Crystal Block,No,100,,,,,,,,,
3235,Music Boxes,,Music Box (Martian Madness),No,1,,,,,,,,,
3236,Music Boxes,,Music Box (Pirate Invasion),No,1,,,,,,,,,
3237,Music Boxes,,Music Box (Hell),No,1,,,,,,,,,
3238,Walls/Wallpaper,,Crystal Block Wall,No,400,,,,,,,,,
3239,Furniture (Other),,Trap Door,No,1,,,,,,,,,
3240,Furniture (Other),,Tall Gate,No,1,,,,,,,,,
3241,Accessories,,Sharkron Balloon,No,1,,,,,,,,,
3242,Vanity,,Tax Collector's Hat,No,1,,,,,,,,,
3243,Vanity,,Tax Collector's Suit,No,1,,,,,,,,,
3244,Vanity,,Tax Collector's Pants,No,1,,,,,,,,,
3245,Accessories,,Bone Glove,No,1,,,,,,,,,
3246,Vanity,,Clothier's Jacket,No,1,,,,,,,,,
3247,Vanity,,Clothier's Pants,No,1,,,,,,,,,
3248,Vanity,,Dye Trader's Turban,No,1,,,,,,,,,
3249,Weapons,,Deadly Sphere Staff,No,1,,,,,,,,,
3250,Accessories,,Green Horseshoe Balloon,No,1,,,,,,,,,
3251,Accessories,,Amber Horseshoe Balloon,No,1,,,,,,,,,
3252,Accessories,,Pink Horseshoe Balloon,No,1,,,,,,,,,
3253,Lighting,,Lava Lamp,No,1,,,,,,,,,
3254,Critters,,Enchanted Nightcrawler Cage,No,1,,,,,,,,,
3255,Critters,,Buggy Cage,No,1,,,,,,,,,
3256,Critters,,Grubby Cage,No,1,,,,,,,,,
3257,Critters,,Sluggy Cage,No,1,,,,,,,,,
3258,Weapons,,Slap Hand,No,1,,,,,,,,,
3259,Dyes,,Twilight Hair Dye,No,1,,,,,,,,,
3260,Pets/Mounts,,Blessed Apple,No,1,,,,,,,,,
3261,Ore/Bars/Gems,,Spectre Bar,No,25,,,,,,,,,
3262,Weapons,,Code 1,No,1,,,,,,,,,
3263,Vanity,,Buccaneer Bandana,No,1,,,,,,,,,
3264,Vanity,,Buccaneer Tunic,No,1,,,,,,,,,
3265,Vanity,,Buccaneer Pantaloons,No,1,,,,,,,,,
3266,Armor,,Obsidian Outlaw Hat,No,1,,,,,,,,,
3267,Armor,,Obsidian Longcoat,No,1,,,,,,,,,
3268,Armor,,Obsidian Pants,No,1,,,,,,,,,
3269,Weapons,,Medusa Head,No,1,,,,,,,,,
3270,Furniture (Other),,Item Frame,No,1,,,,,,,,,
3271,Blocks,,Sandstone Block,No,100,,,,,,,,,
3272,Blocks,,Hardened Sand Block,No,100,,,,,,,,,
3273,Walls/Wallpaper,,Sandstone Wall,No,400,,,,,,,,,
3274,Blocks,,Hardened Ebonsand Block,No,100,,,,,,,,,
3275,Blocks,,Hardened Crimsand Block,No,100,,,,,,,,,
3276,Blocks,,Ebonsandstone Block,No,100,,,,,,,,,
3277,Blocks,,Crimsandstone Block,No,100,,,,,,,,,
3278,Weapons,,Wooden Yoyo,No,1,,,,,,,,,
3279,Weapons,,Malaise,No,1,,,,,,,,,
3280,Weapons,,Artery,No,1,,,,,,,,,
3281,Weapons,,Amazon,No,1,,,,,,,,,
3282,Weapons,,Cascade,No,1,,,,,,,,,
3283,Weapons,,Chik,No,1,,,,,,,,,
3284,Weapons,,Code 2,No,1,,,,,,,,,
3285,Weapons,,Rally,No,1,,,,,,,,,
3286,Weapons,,Yelets,No,1,,,,,,,,,
3287,Weapons,,Red's Throw,No,1,,,,,,,,,
3288,Weapons,,Valkyrie Yoyo,No,1,,,,,,,,,
3289,Weapons,,Amarok,No,1,,,,,,,,,
3290,Weapons,,Hel-Fire,No,1,,,,,,,,,
3291,Weapons,,Kraken,No,1,,,,,,,,,
3292,Weapons,,The Eye of Cthulhu,No,1,,,,,,,,,
3293,Accessories,,Red String,No,1,,,,,,,,,
3294,Accessories,,Orange String,No,1,,,,,,,,,
3295,Accessories,,Yellow String,No,1,,,,,,,,,
3296,Accessories,,Lime String,No,1,,,,,,,,,
3297,Accessories,,Green String,No,1,,,,,,,,,
3298,Accessories,,Teal String,No,1,,,,,,,,,
3299,Accessories,,Cyan String,No,1,,,,,,,,,
3300,Accessories,,Sky Blue String,No,1,,,,,,,,,
3301,Accessories,,Blue String,No,1,,,,,,,,,
3302,Accessories,,Purple String,No,1,,,,,,,,,
3303,Accessories,,Violet String,No,1,,,,,,,,,
3304,Accessories,,Pink String,No,1,,,,,,,,,
3305,Accessories,,Brown String,No,1,,,,,,,,,
3306,Accessories,,White String,No,1,,,,,,,,,
3307,Accessories,,Rainbow String,No,1,,,,,,,,,
3308,Accessories,,Black String,No,1,,,,,,,,,
3309,Accessories,,Black Counterweight,No,1,,,,,,,,,
3310,Accessories,,Blue Counterweight,No,1,,,,,,,,,
3311,Accessories,,Green Counterweight,No,1,,,,,,,,,
3312,Accessories,,Purple Counterweight,No,1,,,,,,,,,
3313,Accessories,,Red Counterweight,No,1,,,,,,,,,
3314,Accessories,,Yellow Counterweight,No,1,,,,,,,,,
3315,Weapons,,Format:C,No,1,,,,,,,,,
3316,Weapons,,Gradient,No,1,,,,,,,,,
3317,Weapons,,Valor,No,1,,,,,,,,,
3318,Treasure Bags,,Treasure Bag (King Slime),No,3,,,,,,,,,
3319,Treasure Bags,,Treasure Bag (Eye of Cthulhu),No,3,,,,,,,,,
3320,Treasure Bags,,Treasure Bag (Eater of Worlds),No,3,,,,,,,,,
3321,Treasure Bags,,Treasure Bag (Brain of Cthulhu),No,3,,,,,,,,,
3322,Treasure Bags,,Treasure Bag (Queen Bee),No,3,,,,,,,,,
3323,Treasure Bags,,Treasure Bag (Skeletron),No,3,,,,,,,,,
3324,Treasure Bags,,Treasure Bag (Wall of Flesh),No,3,,,,,,,,,
3325,Treasure Bags,,Treasure Bag (The Destroyer),No,3,,,,,,,,,
3326,Treasure Bags,,Treasure Bag (The Twins),No,3,,,,,,,,,
3327,Treasure Bags,,Treasure Bag (Skeletron Prime),No,3,,,,,,,,,
3328,Treasure Bags,,Treasure Bag (Plantera),No,3,,,,,,,,,
3329,Treasure Bags,,Treasure Bag (Golem),No,3,,,,,,,,,
3330,Treasure Bags,,Treasure Bag (Duke Fishron),No,3,,,,,,,,,
3332,Treasure Bags,,Treasure Bag (Moon Lord),No,3,,,,,,,,,
3333,Accessories,,Hive Pack,No,1,,,,,,,,,
3334,Accessories,,Yoyo Glove,No,1,,,,,,,,,
3335,Miscellaneous,,Demon Heart,No,1,,,,,,,,,
3336,Accessories,,Spore Sac,No,1,,,,,,,,,
3337,Accessories,,Shiny Stone,No,1,,,,,,,,,
3338,Blocks,,Hardened Pearlsand Block,No,100,,,,,,,,,
3339,Blocks,,Pearlsandstone Block,No,100,,,,,,,,,
3340,Walls/Wallpaper,,Hardened Sand Wall,No,400,,,,,,,,,
3341,Walls/Wallpaper,,Hardened Ebonsand Wall,No,400,,,,,,,,,
3342,Walls/Wallpaper,,Hardened Crimsand Wall,No,400,,,,,,,,,
3343,Walls/Wallpaper,,Hardened Pearlsand Wall,No,400,,,,,,,,,
3344,Walls/Wallpaper,,Ebonsandstone Wall,No,400,,,,,,,,,
3345,Walls/Wallpaper,,Crimsandstone Wall,No,400,,,,,,,,,
3346,Walls/Wallpaper,,Pearlsandstone Wall,No,400,,,,,,,,,
3347,Blocks,,Desert Fossil,No,200,,,,,,,,,
3348,Walls/Wallpaper,,Desert Fossil Wall,No,400,,,,,,,,,
3349,Weapons,,Exotic Scimitar,No,1,,,,,,,,,
3350,Weapons,,Paintball Gun,No,1,,,,,,,,,
3351,Weapons,,Classy Cane,No,1,,,,,,,,,
3352,Weapons,,Stylish Scissors,No,1,,,,,,,,,
3353,Minecarts,,Mechanical Cart,No,1,,,,,,,,,
3354,Crafting,,Mechanical Wheel Piece,No,1,,,,,,,,,
3355,Crafting,,Mechanical Wagon Piece,No,1,,,,,,,,,
3356,Crafting,,Mechanical Battery Piece,No,1,,,,,,,,,
3357,Trophies,,Lunatic Cultist Trophy,No,1,,,,,,,,,
3358,Trophies,,Martian Saucer Trophy,No,1,,,,,,,,,
3359,Trophies,,Flying Dutchman Trophy,No,1,,,,,,,,,
3360,Tools,,Living Mahogany Wand,No,1,,,,,,,,,
3361,Tools,,Rich Mahogany Leaf Wand,No,1,,,,,,,,,
3362,Vanity,,Fallen Tuxedo Shirt,No,1,,,,,,,,,
3363,Vanity,,Fallen Tuxedo Pants,No,1,,,,,,,,,
3364,Furniture (Other),,Fireplace,No,1,,,,,,,,,
3365,Furniture (Other),,Chimney,No,1,,,,,,,,,
3366,Accessories,,Yoyo Bag,No,1,,,,,,,,,
3367,Pets/Mounts,,Shrimpy Truffle,No,1,,,,,,,,,
3368,Weapons,,Arkhalis,No,1,,,,,,,,,
3369,Mechanisms,,Confetti Cannon,No,1,,,,,,,,,
3370,Music Boxes,,Music Box (The Towers),No,1,,,,,,,,,
3371,Music Boxes,,Music Box (Goblin Invasion),No,1,,,,,,,,,
3372,Vanity,,Lunatic Cultist Mask,No,1,,,,,,,,,
3373,Vanity,,Moon Lord Mask,No,1,,,,,,,,,
3374,Armor,,Fossil Helmet,No,1,,,,,,,,,
3375,Armor,,Fossil Plate,No,1,,,,,,,,,
3376,Armor,,Fossil Greaves,No,1,,,,,,,,,
3377,Weapons,,Amber Staff,No,1,,,,,,,,,
3378,Weapons (Thrown/Ammo),,Bone Javelin,No,99,,,,,,,,,
3379,Weapons (Thrown/Ammo),,Bone Throwing Knife,No,99,,,,,,,,,
3380,Blocks,,Sturdy Fossil,No,100,,,,,,,,,
3381,Armor,,Stardust Helmet,No,1,,,,,,,,,
3382,Armor,,Stardust Plate,No,1,,,,,,,,,
3383,Armor,,Stardust Leggings,No,1,,,,,,,,,
3384,Tools,,Portal Gun,No,1,,,,,,,,,
3385,Plants,,Strange Plant (Purple),No,3,,,,,,,,,
3386,Plants,,Strange Plant (Orange),No,3,,,,,,,,,
3387,Plants,,Strange Plant (Green),No,3,,,,,,,,,
3388,Plants,,Strange Plant (Red),No,3,,,,,,,,,
3389,Weapons,,Terrarian,No,1,,,,,,,,,
3390,Banners (Event),,Goblin Warlock Banner,No,1,,,,,,,,,
3391,Banners (Enemy),,Salamander Banner,No,1,,,,,,,,,
3392,Banners (Enemy),,Giant Shelly Banner,No,1,,,,,,,,,
3393,Banners (Enemy),,Crawdad Banner,No,1,,,,,,,,,
3394,Banners (Event),,Fritz Banner,No,1,,,,,,,,,
3395,Banners (Event),,Creature From The Deep Banner,No,1,,,,,,,,,
3396,Banners (Event),,Dr. Man Fly Banner,No,1,,,,,,,,,
3397,Banners (Event),,Mothron Banner,No,1,,,,,,,,,
